Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS10 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
2020-01-01,32,B,88,12,11,10,CDO1QN6,QD86XU7,8QOEWI1,,9503003700,CN,CN,8.0,A,G,2.3,18.17,1,1
2020-01-01,29,B,12,21,11,40,K3E28IQ,MEDCNNU,DSDYKO2,,3926909000,CN,CN,6.5,C,B,2.0,1.2,0,0
2020-01-01,40,B,10,21,40,39,00RURK1,92X3AXX,M7J7I9L,W6UCD9,7318190000,CN,CN,8.0,A,B,2.0,190.8,0,0
2020-01-01,14,B,97,21,10,10,1XCM1XF,XE08QFH,3VEFA3W,,3926909000,CN,CN,6.5,C,B,40.0,24.0,0,0
2020-01-01,42,B,11,21,11,39,6V8QPPW,LD8GM65,,,7102390000,CN,HK,5.0,A,G,0.0,0.0,0,0
2020-01-01,40,B,10,21,10,40,86E3KB0,CSS32BB,9UP4MN8,,8414519000,CN,CN,0.0,FCN1,E,5073.6,2053793.2800000003,0,0
2020-01-01,13,B,11,21,11,10,EZZP7UR,WP5PIHD,FJVA5ZY,,1702909000,CN,CN,8.0,A,Y,206.0,53251.0,0,0
2020-01-01,20,B,11,21,43,10,5ZMJCJR,O3T6YR6,6LN6E19,,6204430000,CN,CN,13.0,A,G,10.0,1248.0,0,0
2020-01-01,20,B,10,21,10,10,7TEGDL8,98NA0SR,UXX1AJX,,7610901000,CN,CN,4.8,FCN1,B,185.0,81677.5,1,1
2020-01-01,41,B,11,21,11,10,OOLW1MT,YDMHTLK,V76LMA1,,2305000000,CN,CN,5.0,A,Y,100.0,110790.0,0,0
2020-01-01,33,B,11,21,11,10,6TYY58A,E8CVWVG,KAYPWQN,,4819200000,CN,CN,0.0,C,G,27.0,16.2,1,1
2020-01-01,20,B,11,21,11,10,51JSZLY,HL61WFK,348LDZG,,3823120000,MY,MY,0.0,FAS1,Y,19860.0,6855672.0,0,0
2020-01-01,40,B,93,11,11,10,DB9B0VN,G7L9MU5,QYZNVZT,B7S0RD,6117801000,CN,CN,13.0,A,G,0.1,244.44000000000003,0,0
2020-01-01,31,B,11,21,11,10,12WCE9E,U2LWWYQ,G63BOX1,,7104901090,CN,CN,0.0,FCN1,Y,5000.0,15172500.0,0,0
2020-01-01,20,B,10,21,12,10,OQY4ZUC,UQS520K,UKIOPY6,,8433110000,JP,JP,0.0,C,Y,959.0,7672.0,0,0
2020-01-01,29,B,91,21,11,40,D88DTE8,BIHPWOB,QQFGD9M,MWIDNS,8414599000,CN,CN,8.0,A,Y,80.0,5128.0,0,0
2020-01-01,20,B,11,21,11,9,GO1EBDS,IWX4YYM,IWSDF6W,,6206401000,CN,CN,6.5,E1,B,300.0,5730.0,0,0
2020-01-01,33,B,11,21,12,10,E3Q8ABV,QZ3FFBX,IXHGLHQ,,2701110000,CN,CN,0.0,FCN1,B,300000.0,11610000.0,0,0
2020-01-01,40,B,22,21,11,10,5PDPMM1,UYKDFV4,818J1DT,,8203209000,CN,CN,0.0,FCN1,Y,527.4,202310.64,0,0
2020-01-02,20,B,86,21,11,9,QDUSBFS,U2VPCCF,H7OK5JN,,8477900000,AT,AT,0.0,FEU1,Y,864.0,104198.4,0,0
2020-01-02,19,B,11,21,11,40,158PVN2,BWDOZQU,2ALHF50,W6UCD9,4819200000,CN,CN,0.0,C,E,1305.5,783.3,0,0
2020-01-02,19,B,11,21,44,40,XDDUYBL,8WMU2PT,DFMGWH9,,6913909090,CN,CN,8.0,A,G,1200.0,12600.0,1,1
